z_mm,p_abs_Pa
0.0500,0.853584
0.1564,0.874030
0.2770,0.897878
0.4136,0.925318
0.5684,0.956297
0.7438,0.990368
0.9426,1.026477
1.1678,1.062679
1.4230,1.095805
1.7121,1.121105
2.0398,1.131976
2.4111,1.120034
2.8318,1.076100
3.3085,0.993426
3.8486,0.876282
4.4607,0.760504
5.1542,0.740119
5.9401,0.903752
6.8306,1.209878
7.8396,1.575941
8.9829,1.964213
10.2784,2.316242
11.6757,2.419139
13.0917,2.073542
14.5077,1.334873
15.9237,0.415059
17.3396,0.647233
18.7556,1.740118
20.1716,2.776776
21.5875,3.500508
23.0035,3.799376
24.4195,3.770686
25.8355,3.490764
27.2514,2.905973
28.6674,2.098188
30.0834,1.484468
31.4993,1.405790
32.9153,1.604419
34.3313,1.921411
35.7473,2.196492
37.1632,2.195672
38.5792,2.009871
39.9952,1.991138
41.4111,2.176302
42.8271,2.441189
44.2431,2.868089
45.6591,3.350241
47.0750,3.601638
48.4910,3.551560
49.9070,3.326294
51.3229,2.939726
52.7389,2.280647
54.1549,1.388242
55.5709,0.588499
56.9868,0.908214
58.4028,1.853747
59.8188,2.853980
61.2348,3.684178
62.6507,4.244722
64.0667,4.621400
65.4827,4.870768
66.8986,4.878145
68.3146,4.557204
69.7306,4.017787
71.1466,3.411151
72.5625,2.720072
73.9785,1.882961
75.3945,1.048230
76.8104,0.767456
78.2264,1.312949
79.6424,2.103971
81.0584,2.888532
82.4743,3.479114
83.8903,3.853580
85.3063,4.145236
86.7222,4.377064
88.1382,4.399423
89.5542,4.155718
90.9702,3.789206
92.3861,3.415100
93.8021,2.957329
95.2181,2.349846
96.6341,1.723806
98.0500,1.350269
99.4660,1.485289
100.8820,2.073744
102.2979,2.831829
103.7139,3.561674
105.1299,4.251979
106.5459,4.988588
107.9618,5.746717
109.3778,6.382280
110.7938,6.841528
112.2097,7.239426
113.6257,7.661636
115.0417,8.007440
116.4577,8.157206
117.8736,8.171170
119.2896,8.190357
120.7056,8.206853
122.1215,8.089496
123.5375,7.807204
124.9535,7.482389
126.3695,7.206233
127.7854,6.906944
129.2014,6.479694
130.6174,5.957892
132.0333,5.468575
133.4493,5.049656
134.8653,4.608693
136.2813,4.076142
137.6972,3.509108
139.1132,3.020866
140.5292,2.635737
141.9452,2.273013
143.3611,1.885254
144.7771,1.532897
146.1931,1.319724
147.6090,1.292009
149.0250,1.406678
150.4410,1.577249
151.8570,1.735520
153.2729,1.871132
154.6889,2.028401
156.1049,2.243860
157.5208,2.473127
158.9368,2.628222
160.3528,2.692542
161.7688,2.744357
163.1847,2.841295
164.6007,2.946807
166.0167,3.003547
167.4326,2.992738
168.8486,2.933302
170.2646,2.879996
171.6806,2.869404
173.0965,2.852518
174.5125,2.763903
175.9285,2.619531
177.3444,2.476699
178.7604,2.354512
180.1764,2.243936
181.5924,2.126748
183.0083,1.972692
184.4243,1.782440
185.8403,1.600774
187.2563,1.450029
188.6722,1.312109
190.0882,1.180027
191.5042,1.054946
192.9201,0.929189
194.3361,0.816023
195.7521,0.745036
197.1681,0.717229
198.5840,0.715018
200.0000,0.743333
