z_mm,p_abs_Pa
100.8820,0.060291
102.2979,0.062458
103.7139,0.061042
105.1299,0.053360
106.5459,0.044759
107.9618,0.039550
109.3778,0.033559
110.7938,0.023089
112.2097,0.011853
113.6257,0.010479
115.0417,0.014387
116.4577,0.018960
117.8736,0.028953
119.2896,0.040037
120.7056,0.046147
122.1215,0.048441
123.5375,0.053149
124.9535,0.059900
126.3695,0.062457
127.7854,0.059678
129.2014,0.056613
130.6174,0.056287
132.0333,0.055247
133.4493,0.049962
134.8653,0.041458
136.2813,0.033858
137.6972,0.029191
139.1132,0.024978
140.5292,0.020118
141.9452,0.017688
143.3611,0.019413
144.7771,0.024770
146.1931,0.034292
147.6090,0.045718
149.0250,0.055235
150.4410,0.061775
151.8570,0.068254
153.2729,0.077587
154.6889,0.088202
156.1049,0.096642
157.5208,0.102100
158.9368,0.106722
160.3528,0.112824
161.7688,0.120081
163.1847,0.125573
164.6007,0.127324
166.0167,0.127239
167.4326,0.128669
168.8486,0.131463
170.2646,0.132716
171.6806,0.131189
173.0965,0.128331
174.5125,0.126334
175.9285,0.125929
177.3444,0.125699
178.7604,0.123962
180.1764,0.120875
181.5924,0.118128
183.0083,0.117100
184.4243,0.117255
185.8403,0.116713
187.2563,0.114982
188.6722,0.113474
190.0882,0.112901
191.5042,0.112978
192.9201,0.113865
194.3361,0.115088
195.7521,0.115856
197.1681,0.117268
198.5840,0.120203
199.0704,0.121381
200.0000,0.123764
