z_mm,p_abs_Pa
100.5814,0.061614
101.9985,0.062867
103.4157,0.060709
104.8328,0.053717
106.2500,0.047933
107.6671,0.042780
109.0843,0.033027
110.5014,0.022778
111.9186,0.017024
113.3357,0.010358
114.7529,0.012637
116.1700,0.022273
117.5872,0.028314
119.0043,0.036248
120.4215,0.045951
121.8386,0.051006
123.2558,0.053919
124.6729,0.059391
126.0901,0.062452
127.5072,0.060559
128.9244,0.059647
130.3415,0.059941
131.7587,0.055572
133.1758,0.048813
134.5930,0.045018
136.0101,0.040229
137.4273,0.031239
138.8444,0.023204
140.2616,0.019413
141.6787,0.017957
143.0959,0.019421
144.5131,0.023497
145.9302,0.032259
147.3474,0.043368
148.7645,0.050971
150.1817,0.057613
151.5988,0.068465
153.0160,0.078400
154.4331,0.083956
155.8503,0.091474
157.2674,0.101717
158.6846,0.107636
160.1017,0.111123
161.5189,0.118274
162.9360,0.124335
164.3532,0.125086
165.7703,0.126920
167.1875,0.131455
168.6046,0.131643
170.0218,0.129038
171.4389,0.130326
172.8561,0.131254
174.2732,0.127292
175.6904,0.124956
177.1075,0.126248
178.5247,0.123881
179.9418,0.119366
181.3590,0.119637
182.7761,0.120039
184.1933,0.115876
185.6104,0.114102
187.0276,0.116324
188.4447,0.114679
189.8619,0.111335
191.2790,0.113434
192.6962,0.115345
194.1133,0.112798
195.5305,0.113800
196.9477,0.119067
198.3648,0.120286
199.7820,0.120789
201.1991,0.127359
202.6163,0.133253
204.0334,0.134523
205.4506,0.139015
206.8677,0.147044
208.2849,0.150420
209.7020,0.151506
211.1192,0.157252
212.5363,0.162823
213.9535,0.163024
215.3706,0.164059
216.7878,0.169373
218.2049,0.171959
219.6221,0.170473
221.0392,0.172349
222.4564,0.177238
223.8735,0.177883
225.2907,0.176549
226.7078,0.180323
228.1250,0.185188
229.5421,0.185057
230.9593,0.185529
232.3764,0.191537
233.7936,0.196044
235.2107,0.195713
236.6279,0.198016
238.0450,0.204476
239.4622,0.207247
240.8793,0.206037
242.2965,0.208199
243.7136,0.212953
245.1308,0.213369
246.5479,0.210767
247.9651,0.211927
249.3823,0.215430
250.7994,0.214830
252.2166,0.211927
253.6337,0.213562
255.0509,0.217747
256.4680,0.217694
257.8852,0.215747
259.3023,0.218724
260.7195,0.223861
262.1366,0.224531
263.5538,0.223307
264.9709,0.226531
266.3881,0.231868
267.8052,0.233174
269.2224,0.232015
270.6395,0.234546
272.0567,0.240018
273.4738,0.242252
274.8910,0.241023
276.3081,0.242322
277.7253,0.247250
279.1424,0.250064
280.5596,0.248525
281.9767,0.247291
283.3939,0.249600
284.8110,0.251807
286.2282,0.249628
287.6453,0.245053
289.0625,0.243115
290.4796,0.243472
291.8968,0.241044
293.3139,0.234670
294.7311,0.228883
296.1482,0.226489
297.5654,0.224478
298.9826,0.219278
300.3997,0.211967
301.8169,0.206581
303.2340,0.204253
304.6512,0.201468
306.0683,0.195474
307.4855,0.188336
308.9026,0.183605
310.3198,0.181073
311.7369,0.177591
313.1541,0.171463
314.5712,0.164248
315.9884,0.158860
317.4055,0.155696
318.8227,0.151892
320.2398,0.145582
321.6570,0.138367
323.0741,0.132524
324.4913,0.128247
325.9084,0.124353
327.3256,0.119405
328.7427,0.112833
330.1599,0.106288
331.5770,0.101708
332.9942,0.098177
334.4113,0.093888
335.8285,0.088936
337.2456,0.083828
338.6628,0.078663
340.0799,0.074403
341.4971,0.071416
342.9142,0.068262
344.3314,0.064469
345.7485,0.061179
347.1657,0.058470
348.5828,0.055719
349.0701,0.052932
