z_mm,p_abs_Pa
100.2397,2.584233
101.6570,2.316841
103.0743,1.949907
104.4916,1.289294
105.9089,0.449960
107.3262,0.038632
108.7435,0.244676
110.1608,1.034635
111.5781,1.664106
112.9954,1.639057
114.4127,1.344675
115.8300,1.691530
117.2473,2.006349
118.6646,1.693476
120.0819,1.117189
121.4992,1.153897
122.9165,1.639958
124.3338,1.996884
125.7511,1.995452
127.1684,1.565349
128.5857,0.834852
130.0030,0.207999
131.4203,0.669578
132.8376,0.810572
134.2549,0.475474
135.6722,0.587364
137.0895,1.059847
138.5068,1.589468
139.9241,2.581973
141.3414,3.359183
142.7587,3.083914
144.1760,1.791272
145.5933,0.792585
147.0106,1.194567
148.4279,1.385302
149.8452,1.805154
151.2625,1.880236
152.6798,0.915246
154.0971,0.750264
155.5144,1.808686
156.9317,1.649911
158.3490,0.588990
159.7663,0.679420
161.1836,1.162086
162.6009,1.746226
164.0182,2.422432
165.4355,2.286558
166.8528,1.277860
168.2701,0.364182
169.6874,0.529088
171.1047,1.294445
172.5220,2.301433
173.9393,2.468362
175.3566,1.493115
176.7739,0.570036
178.1912,1.324313
179.6085,1.465986
181.0258,1.125521
182.4431,0.672180
183.8604,1.178278
185.2777,2.503840
186.6950,3.231780
188.1123,2.816325
189.5296,1.693993
190.9469,0.877419
192.3642,0.541242
193.7815,0.790505
195.1988,1.392454
196.6161,1.366084
198.0334,0.747138
199.4507,0.543473
200.8680,0.678770
202.2853,0.405030
203.7026,0.638681
205.1199,1.523224
206.5372,2.466819
207.9545,2.962789
209.3718,2.690942
210.7891,2.044192
212.2064,1.687860
213.6237,1.268136
215.0410,0.861332
216.4583,1.511431
217.8756,1.761220
219.2929,1.114824
220.7102,0.729685
222.1275,1.226626
223.5447,1.134606
224.9620,1.088126
226.3793,1.510595
227.7966,1.470869
229.2139,1.427433
230.6312,2.276362
232.0485,2.965003
233.4658,2.894129
234.8831,2.353684
236.3004,1.934716
237.7177,1.635916
239.1350,1.177756
240.5523,0.978454
241.9696,1.222212
243.3869,1.196227
244.8042,0.958786
246.2215,1.283932
247.6388,1.830052
249.0561,2.027709
250.4734,1.831556
251.8907,1.433801
253.3080,1.173157
254.7253,1.355516
256.1426,1.636611
257.5599,1.684893
258.9772,1.610893
260.3945,1.503039
261.8118,1.089538
263.2291,0.431375
264.6464,0.881043
266.0637,1.214719
267.4810,0.867509
268.8983,0.986118
270.3156,1.711111
271.7329,1.769344
273.1502,1.096579
274.5675,0.645229
275.9848,0.927804
277.4021,1.377636
278.8194,2.341009
280.2367,3.117434
281.6540,3.001944
283.0713,1.910795
284.4886,0.289620
285.9059,1.374922
287.3232,2.283835
288.7405,2.026472
290.1578,0.718883
291.5751,1.059388
292.9924,1.921354
294.4097,1.956213
295.8270,2.751618
297.2443,3.801070
298.6616,3.381066
300.0789,1.617362
301.4962,2.152722
302.9135,3.184110
304.3308,2.265227
305.7481,0.880862
307.1654,2.128769
308.5827,1.963379
309.0698,1.435190
310.0000,0.146802
310.9660,0.101065
311.4286,0.091345
312.8571,0.064957
314.2857,0.042188
315.7143,0.026262
317.1429,0.016001
318.5714,0.009649
320.0000,0.005783
321.4286,0.003448
322.8571,0.002047
324.2857,0.001210
325.7143,0.000718
327.1429,0.000452
328.5714,0.000340
329.0808,0.000324
330.0000,0.000315
