z_mm,p_abs_Pa
100.8006,0.063572
102.2154,0.062232
103.6302,0.057310
105.0451,0.053304
106.4599,0.048441
107.8747,0.039444
109.2895,0.030162
110.7043,0.023348
112.1191,0.014580
113.5339,0.008480
114.9487,0.014775
116.3635,0.020828
117.7784,0.029212
119.1932,0.039194
120.6080,0.045357
122.0228,0.049687
123.4376,0.055955
124.8524,0.060162
126.2672,0.059935
127.6820,0.060010
129.0968,0.061081
130.5117,0.058187
131.9265,0.052554
133.3413,0.049028
134.7561,0.044966
136.1709,0.036888
137.5857,0.028681
139.0005,0.023621
140.4153,0.019168
141.8301,0.016308
143.2450,0.018003
144.6598,0.024951
146.0746,0.035345
147.4894,0.043972
148.9042,0.050635
150.3190,0.060189
151.7338,0.070943
153.1486,0.078134
154.5634,0.084703
155.9783,0.094379
157.3931,0.102691
158.8079,0.107214
160.2227,0.112870
161.6375,0.120280
163.0523,0.124105
164.4671,0.125267
165.8819,0.128788
167.2967,0.132131
168.7116,0.131154
170.1264,0.129909
171.5412,0.131584
172.9560,0.131131
174.3708,0.127317
175.7856,0.126079
177.2004,0.126788
178.6152,0.123763
180.0300,0.120025
181.4449,0.120530
182.8597,0.120252
184.2745,0.116291
185.6893,0.114999
187.1041,0.116805
188.5189,0.115129
189.9337,0.112253
191.3485,0.113960
192.7633,0.115733
194.1781,0.113921
195.5930,0.114515
197.0078,0.119085
198.4226,0.121382
199.8374,0.122143
201.2522,0.127081
202.6670,0.133529
204.0818,0.136484
205.4966,0.139396
206.9114,0.146043
208.3263,0.151753
209.7411,0.153455
211.1559,0.156207
212.5707,0.162089
213.9855,0.165391
215.4003,0.165116
216.8151,0.167371
218.2299,0.172123
219.6447,0.173317
221.0596,0.172224
222.4744,0.174833
223.8892,0.179029
225.3040,0.179469
226.7188,0.179004
228.1336,0.182673
229.5484,0.187271
230.9632,0.188273
232.3780,0.189014
233.7929,0.193799
235.2077,0.198978
236.6225,0.200271
238.0373,0.201112
239.4521,0.205537
240.8669,0.209870
242.2817,0.210052
243.6965,0.209362
245.1113,0.211876
246.5262,0.214714
247.9410,0.213889
249.3558,0.211837
250.7706,0.213052
252.1854,0.215923
253.6002,0.215907
255.0150,0.214121
256.4298,0.215497
257.8446,0.219570
259.2595,0.221395
260.6743,0.220680
262.0891,0.221955
263.5039,0.226268
264.9187,0.229600
266.3335,0.229899
267.7483,0.230201
269.1631,0.233578
270.5779,0.237978
271.9928,0.239608
273.4076,0.239323
274.8224,0.241160
276.2372,0.245354
277.6520,0.248207
279.0668,0.248250
280.4816,0.247785
281.8964,0.249041
283.3112,0.251267
284.7260,0.251637
286.1409,0.248940
287.5557,0.245768
288.9705,0.244742
290.3853,0.244055
291.8001,0.240781
293.2149,0.235559
294.6297,0.230673
296.0445,0.226961
297.4593,0.223978
298.8742,0.220169
300.2890,0.214259
301.7038,0.208015
303.1186,0.203920
304.5334,0.200827
305.9482,0.196537
307.3630,0.191265
308.7778,0.185726
310.1926,0.180355
311.6075,0.176167
313.0223,0.172550
314.4371,0.167514
315.8519,0.161388
317.2667,0.155788
318.6815,0.150591
320.0963,0.145494
321.5111,0.140771
322.9259,0.135610
324.3408,0.129663
325.7556,0.124060
327.1704,0.118958
328.5852,0.113646
329.0712,0.109844
330.0000,0.108686
