z_mm,p_abs_Pa
0.0000,0.156330
0.0500,0.156319
0.0500,0.154452
0.0500,0.153760
0.0500,0.155038
0.0500,0.155515
0.0500,0.156139
0.0500,0.156281
0.0500,0.155882
0.1229,0.156236
0.1406,0.156141
0.1537,0.156212
0.1593,0.155926
0.1748,0.155593
0.1782,0.155159
0.1789,0.154627
0.1800,0.153991
0.2094,0.156098
0.2523,0.155904
0.2651,0.156006
0.3029,0.155535
0.3077,0.154648
0.3086,0.154082
0.3089,0.155122
0.3136,0.153389
0.3232,0.155831
0.3788,0.155559
0.3848,0.155686
0.4212,0.154063
0.4398,0.154918
0.4414,0.155193
0.4499,0.155434
0.4504,0.153413
0.4504,0.154456
0.5134,0.155234
0.5142,0.155078
0.5721,0.154620
0.5856,0.154896
0.5893,0.153438
0.6071,0.152464
0.6087,0.154052
0.6515,0.154636
0.6574,0.154440
0.7274,0.154224
0.7544,0.152255
0.7681,0.153633
0.7938,0.153769
0.7999,0.153878
0.8325,0.152618
0.8795,0.153388
0.9295,0.152932
0.9592,0.152950
0.9682,0.151033
0.9822,0.152266
1.0364,0.151440
1.0385,0.152402
1.1076,0.151761
1.1304,0.151850
1.1706,0.150973
1.2040,0.150111
1.2180,0.151194
1.3027,0.150405
1.3142,0.150583
1.3862,0.149433
1.4144,0.149810
1.4444,0.148284
1.5117,0.149171
1.5195,0.148875
1.6199,0.148343
1.6761,0.147444
1.7177,0.147533
1.7239,0.147657
1.7306,0.146262
1.8321,0.146861
1.8960,0.146250
1.9476,0.145520
1.9518,0.146111
2.0530,0.145419
2.1353,0.144745
2.1965,0.144643
2.2051,0.144001
2.3047,0.144032
2.3998,0.143435
2.4595,0.143409
2.4801,0.142815
2.5789,0.142956
2.6846,0.142550
2.7419,0.142622
2.8725,0.142446
2.9888,0.142327
3.0452,0.142549
3.1868,0.142782
3.3143,0.143024
3.3711,0.143505
3.5262,0.144284
3.6679,0.144948
3.7211,0.145813
3.8936,0.147284
4.0545,0.148403
4.0971,0.149749
4.2904,0.152022
4.4763,0.153564
4.5010,0.155456
4.7148,0.158508
4.9179,0.160288
4.9348,0.162851
5.1667,0.166520
5.3821,0.168754
5.4008,0.171554
5.6505,0.175453
5.8424,0.175013
5.9014,0.180833
6.1593,0.183835
6.4390,0.189617
6.7233,0.191626
6.9954,0.189606
7.0166,0.196546
7.3159,0.196476
7.6370,0.200090
7.9602,0.196993
8.3034,0.198726
8.6652,0.192617
9.0192,0.191121
9.4365,0.180747
9.7881,0.176311
10.1717,0.163498
10.6140,0.153881
11.0035,0.139519
11.5011,0.124470
11.9224,0.110770
12.4541,0.092167
12.9292,0.085701
13.4777,0.073449
14.5772,0.094605
15.7583,0.142476
17.0269,0.193249
18.3897,0.234021
19.8037,0.255404
21.2209,0.252511
22.6380,0.225905
24.0552,0.181079
25.4723,0.126623
26.8895,0.073571
28.3066,0.047579
29.7238,0.068331
31.1409,0.092688
32.5581,0.102187
33.9752,0.094319
35.3924,0.070365
36.8095,0.036179
38.2267,0.034605
39.6438,0.082512
41.0610,0.136135
42.4782,0.187323
43.8953,0.231999
45.3125,0.267378
46.7296,0.292420
48.1468,0.307322
49.5639,0.312533
50.9811,0.308829
52.3982,0.297837
53.8154,0.281528
55.2325,0.261325
56.6497,0.238270
58.0668,0.213718
59.4840,0.189130
60.9011,0.165477
62.3183,0.143561
63.7354,0.124674
65.1526,0.110322
66.5697,0.101341
67.9869,0.097457
69.4040,0.097509
70.8212,0.099933
72.2383,0.103034
73.6555,0.105321
75.0726,0.106092
76.4898,0.105367
77.9069,0.103243
79.3241,0.099997
80.7412,0.096416
82.1584,0.093266
83.5755,0.090997
84.9927,0.090037
86.4098,0.090448
87.8270,0.091755
89.2441,0.093458
90.6613,0.094966
92.0785,0.095594
93.4956,0.094997
94.9128,0.092952
96.3299,0.089187
97.7471,0.083831
99.1642,0.077220
100.5814,0.069571
101.9985,0.061596
103.4157,0.054520
104.8328,0.049515
106.2500,0.048092
107.6671,0.051193
109.0843,0.057835
110.5014,0.066720
111.9186,0.076838
113.3357,0.086995
114.7529,0.096547
116.1700,0.105321
117.5872,0.112834
119.0043,0.118690
120.4215,0.122954
121.8386,0.125533
123.2558,0.126160
124.6729,0.124923
126.0901,0.122000
127.5072,0.117329
128.9244,0.110957
130.3415,0.103146
131.7587,0.094029
133.1758,0.083626
134.5930,0.072125
136.0101,0.059790
137.4273,0.046720
138.8444,0.033012
140.2616,0.019065
141.6787,0.006373
143.0959,0.011622
144.5131,0.025605
145.9302,0.039747
147.3474,0.053610
148.7645,0.067210
150.1817,0.080303
151.5988,0.092685
153.0160,0.104468
154.4331,0.115579
155.8503,0.125747
157.2674,0.135006
158.6846,0.143441
160.1017,0.150851
161.5189,0.157166
162.9360,0.162555
164.3532,0.167007
165.7703,0.170423
167.1875,0.172914
168.6046,0.174614
170.0218,0.175474
171.4389,0.175467
172.8561,0.174739
174.2732,0.173375
175.6904,0.171285
177.1075,0.168525
178.5247,0.165323
179.9418,0.161671
181.3590,0.157511
182.7761,0.153109
184.1933,0.148611
185.6104,0.143891
187.0276,0.139125
188.4447,0.134582
189.8619,0.130181
191.2790,0.125995
192.6962,0.122336
194.1133,0.119246
195.5305,0.116736
196.9477,0.115017
198.3648,0.114155
199.7820,0.114106
201.1991,0.114855
202.6163,0.116355
204.0334,0.118573
205.4506,0.121379
206.8677,0.124608
208.2849,0.128320
209.7020,0.132456
211.1192,0.136760
212.5363,0.141290
213.9535,0.146115
215.3706,0.150953
216.7878,0.155730
218.2049,0.160576
219.6221,0.165325
221.0392,0.169826
222.4564,0.174144
223.8735,0.178266
225.2907,0.182148
226.7078,0.185758
228.1250,0.189044
229.5421,0.192121
230.9593,0.195018
232.3764,0.197505
233.7936,0.199641
235.2107,0.201652
236.6279,0.203325
238.0450,0.204492
239.4622,0.205415
240.8793,0.206141
242.2965,0.206477
243.7136,0.206471
245.1308,0.206269
246.5479,0.205918
247.9651,0.205378
249.3823,0.204553
250.7994,0.203568
252.2166,0.202591
253.6337,0.201382
255.0509,0.199800
256.4680,0.198145
257.8852,0.196414
259.3023,0.194296
260.7195,0.191878
262.1366,0.189374
263.5538,0.186726
264.9709,0.183852
266.3881,0.180746
267.8052,0.177530
269.2224,0.174399
270.6395,0.171185
272.0567,0.167680
273.4738,0.164171
274.8910,0.160821
276.3081,0.157318
277.7253,0.153576
279.1424,0.149788
280.5596,0.146005
281.9767,0.142178
283.3939,0.138168
284.8110,0.133941
286.2282,0.129810
287.6453,0.125829
289.0625,0.121654
290.4796,0.117351
291.8968,0.113228
293.3139,0.109217
294.7311,0.105212
296.1482,0.101188
297.5654,0.097062
298.9826,0.093026
300.3997,0.089186
301.8169,0.085165
303.2340,0.080892
304.6512,0.076698
306.0683,0.072531
307.4855,0.068240
308.9026,0.063905
310.3198,0.059442
311.7369,0.054879
313.1541,0.050472
314.5712,0.046105
315.9884,0.041592
317.4055,0.037121
318.8227,0.032723
320.2398,0.028317
321.6570,0.024074
323.0741,0.019925
324.4913,0.015659
325.9084,0.011423
327.3256,0.007288
328.7427,0.003157
330.1599,0.000968
331.5770,0.004807
332.9942,0.008920
334.4113,0.013117
335.8285,0.017122
337.2456,0.020977
338.6628,0.024702
340.0799,0.028374
341.4971,0.032241
342.9142,0.036145
344.3314,0.039687
345.7485,0.042891
347.1657,0.045977
348.5828,0.049041
349.0701,0.049766
