z_mm,p_abs_Pa
100.8006,0.058045
102.2154,0.064900
103.6302,0.069472
105.0451,0.074957
106.4599,0.076572
107.8747,0.073050
109.2895,0.069778
110.7043,0.065901
112.1191,0.057092
113.5339,0.047893
114.9487,0.042683
116.3635,0.036869
117.7784,0.034421
119.1932,0.040922
120.6080,0.047473
122.0228,0.053977
123.4376,0.064278
124.8524,0.072417
126.2672,0.076151
127.6820,0.081031
129.0968,0.085840
130.5117,0.085187
131.9265,0.082364
133.3413,0.081353
134.7561,0.077093
136.1709,0.067937
137.5857,0.060039
139.0005,0.052899
140.4153,0.041084
141.8301,0.028842
143.2450,0.021981
144.6598,0.015887
146.0746,0.019773
147.4894,0.032320
148.9042,0.042010
150.3190,0.053379
151.7338,0.068154
153.1486,0.079750
154.5634,0.088945
155.9783,0.101288
157.3931,0.113331
158.8079,0.120642
160.2227,0.127883
161.6375,0.137562
163.0523,0.143880
164.4671,0.146275
165.8819,0.150766
167.2967,0.155912
168.7116,0.156297
170.1264,0.155501
171.5412,0.158135
172.9560,0.159118
174.3708,0.155966
175.7856,0.155147
177.2004,0.157107
178.6152,0.155292
180.0300,0.152037
181.4449,0.153384
182.8597,0.154599
184.2745,0.151508
185.6893,0.150498
187.1041,0.153268
188.5189,0.152653
189.9337,0.149690
191.3485,0.151173
192.7633,0.153597
194.1781,0.151764
195.5930,0.151109
197.0078,0.155089
198.4226,0.157337
199.8374,0.156668
201.2522,0.159555
202.6670,0.165138
204.0818,0.167143
205.4966,0.167672
206.9114,0.172136
208.3263,0.176902
209.7411,0.177122
211.1559,0.177164
212.5707,0.181035
213.9855,0.183335
215.4003,0.181046
216.8151,0.180264
218.2299,0.183045
219.6447,0.182878
221.0596,0.179138
222.4744,0.178718
223.8892,0.181290
225.3040,0.180405
226.7188,0.177725
228.1336,0.179660
229.5484,0.183906
230.9632,0.184727
232.3780,0.184957
233.7929,0.189953
235.2077,0.196320
236.6225,0.198851
238.0373,0.200752
239.4521,0.206855
240.8669,0.213575
242.2817,0.216052
243.6965,0.217554
245.1113,0.222914
246.5262,0.229054
247.9410,0.231252
249.3558,0.232174
250.7706,0.236798
252.1854,0.243119
253.6002,0.246178
255.0150,0.247237
256.4298,0.251397
257.8446,0.258228
259.2595,0.262612
260.6743,0.263930
262.0891,0.266944
263.5039,0.273233
264.9187,0.278493
266.3335,0.280129
267.7483,0.281418
269.1631,0.285858
270.5779,0.291330
271.9928,0.293753
273.4076,0.293729
274.8224,0.295435
276.2372,0.299678
277.6520,0.302713
279.0668,0.302409
280.4816,0.301091
281.8964,0.301601
283.3112,0.303303
284.7260,0.303108
286.1409,0.299604
287.5557,0.295265
288.9705,0.293025
290.3853,0.291514
291.8001,0.287467
293.2149,0.280983
294.6297,0.274552
296.0445,0.269436
297.4593,0.265232
298.8742,0.260267
300.2890,0.253030
301.7038,0.245177
303.1186,0.239584
304.5334,0.235390
305.9482,0.230127
307.3630,0.223852
308.7778,0.217313
310.1926,0.210893
311.6075,0.205806
313.0223,0.201648
314.4371,0.196079
315.8519,0.189175
317.2667,0.182814
318.6815,0.176955
320.0963,0.171149
321.5111,0.165785
322.9259,0.160085
324.3408,0.153497
325.7556,0.147188
327.1704,0.141496
328.5852,0.135667
329.0712,0.131305
330.0000,0.130253
