z_mm,p_abs_Pa
100.8006,0.074042
102.2154,0.080538
103.6302,0.083360
105.0451,0.085119
106.4599,0.086471
107.8747,0.085045
109.2895,0.081472
110.7043,0.078640
112.1191,0.076053
113.5339,0.071857
114.9487,0.067675
116.3635,0.065888
117.7784,0.065218
119.1932,0.063810
120.6080,0.063135
122.0228,0.064826
123.4376,0.066664
124.8524,0.066587
126.2672,0.066603
127.6820,0.067975
129.0968,0.067734
130.5117,0.064958
131.9265,0.062760
133.3413,0.060972
134.7561,0.056278
136.1709,0.049947
137.5857,0.045069
139.0005,0.039253
140.4153,0.030592
141.8301,0.022957
143.2450,0.017447
144.6598,0.011126
146.0746,0.011818
147.4894,0.018549
148.9042,0.024358
150.3190,0.032556
151.7338,0.041920
153.1486,0.048945
154.5634,0.055962
155.9783,0.065041
157.3931,0.072896
158.8079,0.078656
160.2227,0.085527
161.6375,0.092968
163.0523,0.097802
164.4671,0.101309
165.8819,0.106042
167.2967,0.109848
168.7116,0.110794
170.1264,0.111605
171.5412,0.113571
172.9560,0.113608
174.3708,0.111457
175.7856,0.110594
177.2004,0.110344
178.6152,0.107423
180.0300,0.103867
181.4449,0.102686
182.8597,0.100765
184.2745,0.096373
185.6893,0.093692
187.1041,0.093028
188.5189,0.090056
189.9337,0.086416
191.3485,0.085928
192.7633,0.085324
194.1781,0.082345
195.5930,0.081260
197.0078,0.082646
198.4226,0.082339
199.8374,0.081613
201.2522,0.084042
202.6670,0.087191
204.0818,0.088502
205.4966,0.090785
206.9114,0.095539
208.3263,0.099413
209.7411,0.101356
211.1559,0.104700
212.5707,0.109701
213.9855,0.112610
215.4003,0.113825
216.8151,0.117223
218.2299,0.121458
219.6447,0.122819
221.0596,0.123557
222.4744,0.127018
223.8892,0.130286
225.3040,0.130831
226.7188,0.131949
228.1336,0.135673
229.5484,0.138770
230.9632,0.139765
232.3780,0.141763
233.7929,0.146141
235.2077,0.149829
236.6225,0.151350
238.0373,0.153658
239.4521,0.158184
240.8669,0.161695
242.2817,0.162665
243.6965,0.164256
245.1113,0.167968
246.5262,0.170731
247.9410,0.171113
249.3558,0.171990
250.7706,0.175107
252.1854,0.178031
253.6002,0.178827
255.0150,0.179560
256.4298,0.182561
257.8446,0.186113
259.2595,0.187551
260.6743,0.188016
262.0891,0.190268
263.5039,0.193686
264.9187,0.195532
266.3335,0.195700
267.7483,0.196766
269.1631,0.199723
270.5779,0.202398
271.9928,0.203116
273.4076,0.203570
274.8224,0.206006
276.2372,0.209333
277.6520,0.211090
279.0668,0.211425
280.4816,0.212302
281.8964,0.214290
283.3112,0.216064
284.7260,0.216151
286.1409,0.214676
287.5557,0.213507
288.9705,0.213550
290.3853,0.212972
291.8001,0.210281
293.2149,0.206771
294.6297,0.204015
296.0445,0.201786
297.4593,0.199295
298.8742,0.195836
300.2890,0.191197
301.7038,0.186744
303.1186,0.183560
304.5334,0.180295
305.9482,0.175711
307.3630,0.170515
308.7778,0.165280
310.1926,0.160100
311.6075,0.155456
313.0223,0.150711
314.4371,0.144699
315.8519,0.138197
317.2667,0.132318
318.6815,0.126532
320.0963,0.120670
321.5111,0.115126
322.9259,0.109214
324.3408,0.102818
325.7556,0.096991
327.1704,0.091607
328.5852,0.085994
329.0712,0.082230
330.0000,0.080841
