z_mm,p_abs_Pa
100.1783,0.133712
100.7444,0.120895
101.3104,0.119026
101.8765,0.109991
102.4426,0.112209
103.0086,0.105288
103.5747,0.104578
104.1407,0.092209
104.7068,0.086066
105.2729,0.073638
105.8389,0.070323
106.4050,0.064211
106.9711,0.063073
107.5371,0.054963
108.1032,0.048733
108.6692,0.036551
109.2353,0.029038
109.8014,0.022534
110.3674,0.020144
110.9335,0.017413
111.4996,0.012968
112.0656,0.005148
112.6317,0.005875
113.1978,0.010688
113.7638,0.015262
114.3299,0.016905
114.8959,0.016650
115.4620,0.018012
116.0281,0.023479
116.5941,0.028628
117.1602,0.034536
117.7263,0.034917
118.2923,0.034680
118.8584,0.030672
119.4245,0.030051
119.9905,0.030387
120.5566,0.034526
121.1226,0.034864
121.6887,0.035293
122.2548,0.029413
122.8208,0.025101
123.3869,0.018248
123.9530,0.016827
124.5190,0.015344
125.0851,0.016289
125.6511,0.012475
126.2172,0.014867
126.7833,0.012746
127.3493,0.019057
127.9154,0.019510
128.4815,0.023569
129.0475,0.025526
129.6136,0.034934
130.1797,0.042033
130.7457,0.055027
131.3118,0.060061
131.8778,0.068189
132.4439,0.068858
133.0100,0.075587
133.5760,0.079691
134.1421,0.093070
134.7082,0.100132
135.2742,0.113010
135.8403,0.114789
136.4063,0.122135
136.9724,0.122062
137.5385,0.132462
138.1045,0.137824
138.6706,0.153165
139.2367,0.157143
139.8027,0.167892
140.3688,0.166044
140.9349,0.174024
141.5009,0.174710
142.0670,0.188802
142.6330,0.193217
143.1991,0.207747
143.7652,0.206713
144.3312,0.215138
144.8973,0.210971
145.4634,0.221152
146.0294,0.222130
146.5955,0.237487
147.1616,0.237674
147.7276,0.248579
148.2937,0.241983
148.8597,0.248456
149.4258,0.243126
149.9919,0.254525
150.5579,0.253580
151.1240,0.265905
151.6901,0.259906
152.2561,0.265147
152.8222,0.254737
153.3882,0.259545
153.9543,0.254271
154.5204,0.264265
155.0864,0.260017
155.6525,0.266173
156.2186,0.255274
156.7846,0.255548
157.3507,0.245235
157.9168,0.249557
158.4828,0.245280
159.0489,0.252060
159.6149,0.244404
160.1810,0.244555
160.7471,0.231952
161.3131,0.230570
161.8792,0.223077
162.4453,0.227632
163.0113,0.222924
163.5774,0.225313
164.1435,0.214181
164.7095,0.210198
165.2756,0.198196
165.8416,0.197233
166.4077,0.191667
166.9738,0.194466
167.5398,0.186750
168.1059,0.183566
168.6720,0.169719
169.2380,0.163028
169.8041,0.152895
170.3701,0.151610
170.9362,0.146027
171.5023,0.144214
172.0683,0.132980
172.6344,0.124077
173.2005,0.110010
173.7665,0.101728
174.3326,0.094818
174.8987,0.091409
175.4647,0.085105
176.0308,0.076907
176.5968,0.064157
177.1629,0.050683
177.7290,0.041638
178.2950,0.033636
178.8611,0.034512
179.4272,0.026568
179.9932,0.024111
