z_mm,p_abs_Pa
200.2067,0.825525
200.7371,0.370488
201.2675,0.627623
201.7979,1.457444
202.3283,2.041391
202.8587,2.792193
203.3891,3.054119
203.9195,3.377590
204.4499,3.123946
204.9803,2.871131
205.5107,2.138679
206.0411,1.428637
206.5715,0.613441
207.1019,0.785505
207.6323,1.524516
208.1627,2.255795
208.6931,2.646920
209.2235,2.970665
209.7539,2.821788
210.2843,2.724796
210.8147,2.222632
211.3451,2.024189
211.8755,1.664069
212.4059,1.784118
212.9363,1.764772
213.4668,1.898383
213.9972,1.732953
214.5276,1.554852
215.0580,1.121285
215.5884,0.913804
216.1188,0.880619
216.6492,1.372806
217.1796,1.714636
217.7100,2.091327
218.2404,2.123495
218.7708,2.063964
219.3012,1.666209
219.8316,1.175313
220.3620,0.497305
220.8924,0.232430
221.4228,0.901370
221.9532,1.528264
222.4836,1.910581
223.0140,2.214375
223.5444,2.164159
224.0748,2.089399
224.6052,1.710090
225.1356,1.500685
225.6660,1.244601
226.1964,1.433760
226.7268,1.592496
227.2572,1.900418
227.7876,1.929001
228.3180,1.928360
228.8484,1.610327
229.3788,1.245355
229.9092,0.693916
230.4396,0.467981
230.9700,0.836480
231.5004,1.499003
232.0308,1.917612
232.5612,2.416855
233.0916,2.497537
233.6220,2.680801
234.1524,2.398020
234.6828,2.286926
235.2133,1.788798
235.7437,1.573928
236.2741,1.176640
236.8045,1.176720
237.3349,1.139611
237.8653,1.274189
238.3957,1.249360
238.9261,1.206202
239.4565,0.985407
239.9869,0.733682
240.5173,0.414177
241.0477,0.328602
241.5781,0.561860
242.1085,0.881111
242.6389,1.074329
243.1693,1.238967
243.6997,1.198969
244.2301,1.139104
244.7605,0.885698
245.2909,0.667040
245.8213,0.366190
246.3517,0.427424
246.8821,0.616234
247.4125,1.002701
247.9429,1.198021
248.4733,1.572866
249.0037,1.657488
249.5341,1.991003
250.0645,1.961072
250.5949,2.205132
251.1253,2.042182
251.6557,2.130126
252.1861,1.826132
252.7165,1.768733
253.2469,1.428077
253.7773,1.428906
254.3077,1.326636
254.8381,1.583988
255.3685,1.683576
255.8989,1.954265
256.4294,1.952793
256.9598,2.064730
257.4902,1.895332
258.0206,1.930555
258.5510,1.759888
259.0814,1.912254
259.6118,1.868809
260.1422,2.051612
260.6726,1.950675
261.2030,1.900755
261.7334,1.562403
262.2638,1.187635
262.7942,0.652031
263.3246,0.224348
263.8550,0.619261
264.3854,1.116574
264.9158,1.472342
265.4462,1.673589
265.9766,1.635032
266.5070,1.418278
267.0374,1.057795
267.5678,0.829501
268.0982,1.010261
268.6286,1.632741
269.1590,2.098946
269.6894,2.607235
270.2198,2.714015
270.7502,2.742790
271.2806,2.363575
271.8110,1.957061
272.3414,1.438658
272.8718,1.515877
273.4022,1.911352
273.9326,2.732139
274.4630,3.176236
274.9934,3.692317
275.5238,3.601176
276.0542,3.483254
276.5846,2.786863
277.1150,2.073962
277.6454,1.038651
278.1759,0.450814
278.7063,1.184715
279.2367,2.088068
279.7671,2.664119
280.2975,3.135432
280.8279,3.084499
281.3583,2.988633
281.8887,2.386019
282.4191,1.881650
282.9495,1.065650
283.4799,0.558255
284.0103,0.513805
284.5407,0.746308
285.0711,0.999077
285.6015,0.912851
286.1319,0.806813
286.6623,0.762240
287.1927,0.993260
287.7231,1.541670
288.2535,1.917143
288.7839,2.317438
289.3143,2.357501
289.8447,2.277591
290.3751,1.846041
290.9055,1.257383
291.4359,0.533038
291.9663,0.522314
292.4967,1.293171
293.0271,2.122095
293.5575,2.613492
294.0879,3.094376
294.6183,3.071398
295.1487,3.072103
295.6791,2.586427
296.2095,2.242293
296.7399,1.628663
297.2703,1.351968
297.8007,1.211001
298.3311,1.317146
298.8615,1.446296
299.3920,1.458874
299.9217,1.390039
300.4528,1.318148
300.9812,1.290062
301.5136,1.561171
302.0396,1.777919
302.5744,2.194245
303.0968,2.296481
303.6352,2.493709
304.1533,2.286115
304.6960,2.172361
305.2079,1.706982
305.7568,1.396986
306.2563,0.892718
306.8176,0.624739
307.2845,0.408395
307.8784,0.393143
308.3902,0.411620
308.9392,0.303629
309.3071,0.218627
310.0000,0.034985
310.7137,0.054548
311.0526,0.060510
311.5901,0.063312
312.1053,0.060090
312.6348,0.054259
313.1579,0.047739
313.6769,0.041351
314.2105,0.035236
314.7344,0.029846
315.2632,0.025101
315.7882,0.021030
316.3158,0.017560
316.8418,0.014626
317.3684,0.012167
317.8946,0.010103
318.4211,0.008387
318.9474,0.006951
319.4737,0.005760
320.0000,0.004767
320.5263,0.003943
321.0522,0.003257
321.5789,0.002689
322.1042,0.002218
322.6316,0.001828
323.1541,0.001508
323.6842,0.001241
324.2051,0.001026
324.7368,0.000848
325.2518,0.000708
325.7895,0.000591
326.2855,0.000505
326.8421,0.000431
327.2945,0.000385
327.8947,0.000341
328.4021,0.000316
328.9474,0.000300
329.3160,0.000292
330.0000,0.000288
